V1/V2 R1                       R2                        MAX error  AVG error
1.06  P(1,1,1,1)               S(1,1,1,1)                        1          1
1.07  P(1,1,1)                 S(1,1,1,1,1)                      2          2
1.07  P(1,1,1,1,1)             S(1,1,1)                          2          2
1.08  P(1,1,1)                 S(1,1,1,1)                        3          2
1.08  P(1,1,1,1)               S(1,1,1)                          3          2
1.10  P(S(1,1),1,1,1)          S(1,1,1)                          3          3
1.10  P(1,1,1)                 S(P(1,1),1,1,1)                   3          3
1.10  P(S(1,1),1,1)            S(1,1,1,1)                        4          3
1.10  P(1,1,1,1)               S(P(1,1),1,1)                     4          3
1.10  P(1,1)                   S(1,1,1,1,1)                      5          3
1.10  P(1,1,1,1,1)             S(1,1)                            5          3
1.11  P(1,1,1)                 S(1,1,1)                          3          3
1.12  P(S(P(1,1),1),1,1)       S(1,1,1)                          4          4
1.12  P(1,1,1)                 S(P(S(1,1),1),1,1)                4          4
1.12  P(1,1)                   S(1,1,1,1)                        6          4
1.12  P(1,1,1,1)               S(1,1)                            6          4
1.13  P(S(1,1),1,1)            S(1,1,1)                          5          3
1.13  P(1,1,1)                 S(P(1,1),1,1)                     5          3
1.13  P(1,1,1,1,1)             S(1,P(1,1))                       8          3
1.13  P(S(1,1),1)              S(1,1,1,1,1)                      8          3
1.14  P(S(1,1,1),1,1)          S(1,1,1)                          5          5
1.14  P(1,1)                   S(P(1,1),1,1,1)                   6          5
1.14  P(S(1,1),1,1,1)          S(1,1)                            6          5
1.14  P(1,1,1)                 S(P(1,1,1),1,1)                   5          5
1.15  P(S(P(1,1),1),1)         S(1,1,1,1)                        8          4
1.15  P(1,1,1,1)               S(P(S(1,1),1),1)                  8          4
1.16  P(S(1,1),1,1)            S(P(1,1),1,1)                     6          3
1.17  P(1,1)                   S(1,1,1)                          7          6
1.17  P(S(1,1),S(1,1),1)       S(1,1,1)                          7          4
1.17  P(1,1,1)                 S(1,1)                            7          6
1.17  P(1,1,1)                 S(P(1,1),P(1,1),1)                7          4
1.17  P(1,1,1,1)               S(1,P(1,1))                      10          4
1.17  P(S(1,1),1)              S(1,1,1,1)                       10          4
1.19  P(1,1)                   S(P(S(1,1),1),1,1)                8          6
1.19  P(S(P(1,1),1),1,1)       S(1,1)                            8          6
1.19  P(1,1,1,1)               S(P(1,1,1),1)                    12          4
1.19  P(S(1,1,1),1)            S(1,1,1,1)                       12          4
1.19  P(S(P(1,1,1),1),1)       S(1,1,1)                          9          6
1.19  P(1,1,1)                 S(P(S(1,1,1),1),1)                9          6
1.19  P(S(1,1),1,1,1)          S(1,P(1,1))                      11          4
1.19  P(S(1,1),1)              S(P(1,1),1,1,1)                  11          4
1.20  P(1,1)                   S(P(1,1),1,1)                     8          6
1.20  P(S(1,1),1,1)            S(1,1)                            8          6
1.20  P(1,1,1)                 S(P(S(1,1),1),1)                 10          5
1.20  P(1,1,1,1,1)             S(1)                             17          6
1.20  S(1)                     S(1,1,1,1,1)                     17          6
1.20  P(S(P(1,1),1),1)         S(1,1,1)                         10          5
1.21  P(1,1,1)                 S(P(S(P(1,1),1),1),1)            11          6
1.21  P(S(P(S(1,1),1),1),1)    S(1,1,1)                         11          6
1.21  P(S(1,1,1),1,1)          S(1,1)                            9          8
1.21  P(1,1)                   S(P(1,1,1),1,1)                   9          8
1.22  P(1,1,1)                 S(1,P(1,1))                      12          6
1.22  P(S(1,1),1)              S(1,1,1)                         12          6
1.24  P(1,1,1)                 S(P(S(1,1),P(1,1)),1)            14          6
1.24  P(S(P(1,1),S(1,1)),1)    S(1,1,1)                         14          6
1.24  P(S(P(1,1),1),1)         S(P(1,1),1,1)                    12          5
1.24  P(S(1,1),1,1)            S(P(S(1,1),1),1)                 12          5
