V1/V2   netlist                                                                      MAX err  AVG err
 1.043  (vin_0,vin_0,vin_out,out_2,2_0,0_3,3_4,4_gnd)                                      3        1
 1.045  (vin_0,vin_0,vin_0,vin_out,out_0,0_2,2_3,3_gnd)                                    2        1
 1.045  (vin_0,vin_0,vin_0,vin_out,out_2,2_0,0_3,3_gnd)                                    3        1
 1.048  (vin_0,vin_0,vin_out,out_0,0_2,2_3,3_4,4_gnd)                                      2        1
 1.048  (vin_0,vin_0,vin_out,out_2,2_3,3_0,0_4,4_gnd)                                      3        1
 1.053  (vin_0,vin_0,vin_0,vin_0,vin_out,out_0,0_2,2_gnd)                                  2        1
 1.056  (vin_0,vin_out,out_2,2_0,0_3,3_4,4_5,5_gnd)                                        4        1
 1.056  (vin_0,vin_out,out_2,2_3,3_0,0_4,4_5,5_gnd)                                        4        1
 1.062  (vin_out,vin_out,vin_out,vin_out,out_1,1_2,2_3,3_gnd)                              1        1
 1.062  (vin_0,vin_out,out_0,0_2,2_3,3_4,4_5,5_gnd)                                        4        1
 1.062  (vin_0,vin_0,vin_out,out_2,2_0,0_3,3_gnd)                                          4        2
 1.062  (vin_0,vin_out,out_2,2_3,3_4,4_0,0_5,5_gnd)                                        5        2
 1.063  (vin_0,vin_0,vin_out,out_0,0_2,2_3,3_gnd)                                          3        2
 1.063  (vin_0,vin_0,vin_0,vin_out,out_2,2_3,3_0,0_gnd)                                    4        2
 1.067  (vin_out,vin_out,vin_out,out_1,1_2,2_3,3_4,4_gnd)                                  2        1
 1.067  (vin_out,vin_out,vin_out,vin_out,vin_out,out_1,1_2,2_gnd)                          2        1
 1.067  (vin_0,vin_0,vin_0,vin_out,out_0,0_2,2_gnd)                                        3        2
 1.067  (vin_0,vin_0,vin_out,out_2,2_3,3_4,4_0,0_gnd)                                      5        2
 1.067  (vin_0,vin_0,vin_0,vin_0,vin_out,out_2,2_0,0_gnd)                                  5        2
 1.071  (vin_0,vin_out,out_2,2_0,0_3,3_4,4_gnd)                                            5        2
 1.074  (vin_0,vin_0,vin_out,out_0,0_2,2_3,3_gnd,3_gnd)                                    4        2
 1.074  (vin_0,vin_0,vin_out,out_2,2_0,2_0,0_3,3_gnd)                                      4        2
 1.077  (vin_0,vin_out,vin_out,out_0,out_0,0_2,2_3,3_gnd)                                  3        2
 1.077  (vin_0,vin_0,vin_out,vin_out,out_0,out_0,0_2,2_gnd)                                3        2
 1.077  (vin_0,vin_out,out_0,0_2,2_3,3_4,4_gnd)                                            4        2
 1.077  (vin_0,vin_out,out_0,vin_2,2_0,0_3,3_4,4_gnd)                                      4        2
 1.077  (vin_0,vin_1,1_0,vin_out,out_0,0_3,3_4,4_gnd)                                      4        2
 1.077  (vin_0,vin_0,vin_out,out_0,vin_2,2_0,0_3,3_gnd)                                    4        2
 1.077  (vin_0,vin_0,vin_1,1_0,vin_out,out_0,0_3,3_gnd)                                    4        2
 1.077  (vin_0,vin_1,1_0,vin_out,out_3,3_0,0_4,4_gnd)                                      5        2
 1.077  (vin_0,vin_out,out_2,2_3,3_0,0_4,4_gnd)                                            6        2
 1.080  (vin_0,vin_0,vin_out,out_0,out_0,0_2,2_3,3_gnd)                                    3        2
 1.080  (vin_0,vin_0,vin_out,out_2,2_0,0_3,3_gnd,3_gnd)                                    5        2
 1.083  (vin_out,vin_out,vin_out,out_1,1_2,2_3,3_gnd)                                      2        2
 1.083  (vin_out,vin_out,vin_out,vin_out,out_1,1_2,2_gnd)                                  2        2
 1.083  (vin_out,vin_out,out_1,1_2,2_3,3_4,4_5,5_gnd)                                      3        1
